id,text
0,"From Kay Honda's ""Helpful HInts ABout Your Honda"" infromation sheet
(given to new owners of Honda vehicles).

""A burning smell may be evident from your new car shortly after taking
delivery.""
--I now own a fire extinguisher;>--


""On Prelude S mels at temperatures above 32 degrees push the
accelerator pedal to the floor one time, release slowly, and with your
foot off the accelerator, crank the engine until it starts.  Moe than
5 seconds [!!!!!!! my note] of cranking may be required.  In
temperatures below 32 degrees the accelerator will have to be
depressed 2-3 times.""

""Door panels and interior trim can be damaged if they are not buckled
by getting caught when closing doors.""

""When shifting accord automatic transmissions from Park Neutral, or
Reverse into Drive the transmission shifts into 3rd gear.""

""In case of towing:
	1- Start the engine
	2- Shift into drive from Park, then from Drive to neutral
	3- Turn off engine""
--what if you are getting towed b/c engine won't run?--

""IF ENGINE DOES NOT RUN DO NOT USE THIS PROCEDURE!""
--Phew, I was worried!--

		Insert smilies where appropriate, though this is REAL.

Jonathan"
1,"The subject says it all. My 1984 Chev S10 Pickup's left turn signal does
not stop after turning. What cause this to stop automaticaly?. Is this
a mechanical problem by the steering wheel?."
2,"nice theory.  too bad the MR2's never came with a four cylinder over 2.0
liters.  More like 1.6.  Or did they? were the nonturbo MR2II's  2.2 or
some such?

I also understand that anyone using balancing shafts on four cylinders, must
pay SAAB a royalty for using their patented design..like Porsche's 3.0 I4..."
3,"recently-manufactured locomotives have wheel-slip detection systems
that use frequencies shared with police radar (i forget which band).
these will set off your radar detector if you get close enough, though
i believe the range is pretty short."
4,"they are pretty much junk, stay away from them.  they will be replaced next
year with all new models."
5,"A local dealer is advertising ""No negotiation necessary!""
Make you wonder..."
6,"W >>will NOT do work on internal engine components of the SHO engine.  This
W >
W >Good thing, too.
W >
W >At about 25K miles my cam sensor went south.  2 different Ford
W >dealers tried 5 or 6 different ""fixes"", none of which worked.  Finally
W >I took it down the street to the local mechanic.  This guy reads the
W >code off the engine computer, says ""Bad cam sensor"", and fixes it in 
W >an hour...

A friend of mine had some sensors damaged by flood waters, Ford denys any
sensors are registering bad.  He and his father did the short a circut via
paper clip method (not sure of the exact technique), and read the codes off
the ""service engine"" light flashes generated from this.  Came up with the 
damaged sensors, went back to Ford, and TOLD them what was wrong.  They
fixed the car after that.  What a bunch of bozos."
7,"That is a question that can only be answered by yourself and where you live. 
If you live in a place where crime is apparent, then it might be a good idea to
get one simply as a deterrent.  However, if a professional thief wants your
vehicle, its as good as gone no matter what you do.  But to slow down any
thieves it would be a good idea to get the basic options.  That would be:

1)	ignition kill or fuel cut-off
2)	a flashing red LED

These two are basic to a decent alarm system.  
To slow down the criminal some more, get a steering wheel lock.
That should be sufficient to persuade the thief to find an easier target.
But, then there's always car-jacking.  
Why is life so confusing?
I hope I helped somewhat."
8,"KY>To all those who have PASSATs, do you recommend using Super Unleaded or just
KY>regular Unleaded Gasoline. I have been using Regular Unleaded. A friend of mine has
KY>a Jetta and has always used Super Unleaded and thinks I should be using the same;
KY>however, I believe the advantages of Super Unleaded for CARs $30000 and under
KY>has been overplayed by guess who: the companies who sell them, because that is
KY>where they make the most PROFIT. A Ralph Nader report and other consumer advocates
KY>have in the past spoken against those oil companies.

Your Passat VR6 is designed to run on premium gasoline, however the
engine electronics will retard the timing so that no harm wil be done
to the engine with lower octane fuel.

You will likely, however, get somewhat more power and fuel mileage
(especially in hot weather) out of this particular engine if you do
run it on premium. 

Tom Neumann
---
 þ DeLuxeý 1.25 #350 þ I sell Volkswagens."
9,"[stuff about RHD deSoto's deleted]

Australians still do drive on the ""wrong"" side of the road. I believe
Sweden changed in 1968. The way I heard it was that they swapped
all the traffic signs around one Sunday...."
