id,text
0,"Class imbalance is a common problem in supervised learning and impedes the
predictive performance of classification models. Popular countermeasures
include oversampling the minority class. Standard methods like SMOTE rely on
finding nearest neighbours and linear interpolations which are problematic in
case of high-dimensional, complex data distributions. Generative Adversarial
Networks (GANs) have been proposed as an alternative method for generating
artificial minority examples as they can model complex distributions. However,
prior research on GAN-based oversampling does not incorporate recent
advancements from the literature on generating realistic tabular data with
GANs. Previous studies also focus on numerical variables whereas categorical
features are common in many business applications of classification methods
such as credit scoring. The paper propoes an oversampling method based on a
conditional Wasserstein GAN that can effectively model tabular datasets with
numerical and categorical variables and pays special attention to the
down-stream classification task through an auxiliary classifier loss. We
benchmark our method against standard oversampling methods and the imbalanced
baseline on seven real-world datasets. Empirical results evidence the
competitiveness of GAN-based oversampling."
1,"We revisit the standard formulation of tabular actor-critic algorithm as a
two time-scale stochastic approximation with value function computed on a
faster time-scale and policy computed on a slower time-scale. This emulates
policy iteration. We observe that reversal of the time scales will in fact
emulate value iteration and is a legitimate algorithm. We provide a proof of
convergence and compare the two empirically with and without function
approximation (with both linear and nonlinear function approximators) and
observe that our proposed critic-actor algorithm performs on par with
actor-critic in terms of both accuracy and computational effort."
2,"We show that using nearest neighbours in the latent space of autoencoders
(AE) significantly improves performance of semi-supervised novelty detection in
both single and multi-class contexts. Autoencoding methods detect novelty by
learning to differentiate between the non-novel training class(es) and all
other unseen classes. Our method harnesses a combination of the reconstructions
of the nearest neighbours and the latent-neighbour distances of a given input's
latent representation. We demonstrate that our nearest-latent-neighbours (NLN)
algorithm is memory and time efficient, does not require significant data
augmentation, nor is reliant on pre-trained networks. Furthermore, we show that
the NLN-algorithm is easily applicable to multiple datasets without
modification. Additionally, the proposed algorithm is agnostic to autoencoder
architecture and reconstruction error method. We validate our method across
several standard datasets for a variety of different autoencoding architectures
such as vanilla, adversarial and variational autoencoders using either
reconstruction, residual or feature consistent losses. The results show that
the NLN algorithm grants up to a 17% increase in Area Under the Receiver
Operating Characteristics (AUROC) curve performance for the multi-class case
and 8% for single-class novelty detection."
3,"We introduce Universum learning for multiclass problems and propose a novel
formulation for multiclass universum SVM (MU-SVM). We also propose a span bound
for MU-SVM that can be used for model selection thereby avoiding resampling.
Empirical results demonstrate the effectiveness of MU-SVM and the proposed
bound."
4,"Reward-free reinforcement learning (RL) is a framework which is suitable for
both the batch RL setting and the setting where there are many reward functions
of interest. During the exploration phase, an agent collects samples without
using a pre-specified reward function. After the exploration phase, a reward
function is given, and the agent uses samples collected during the exploration
phase to compute a near-optimal policy. Jin et al. [2020] showed that in the
tabular setting, the agent only needs to collect polynomial number of samples
(in terms of the number states, the number of actions, and the planning
horizon) for reward-free RL. However, in practice, the number of states and
actions can be large, and thus function approximation schemes are required for
generalization. In this work, we give both positive and negative results for
reward-free RL with linear function approximation. We give an algorithm for
reward-free RL in the linear Markov decision process setting where both the
transition and the reward admit linear representations. The sample complexity
of our algorithm is polynomial in the feature dimension and the planning
horizon, and is completely independent of the number of states and actions. We
further give an exponential lower bound for reward-free RL in the setting where
only the optimal $Q$-function admits a linear representation. Our results imply
several interesting exponential separations on the sample complexity of
reward-free RL."
5,"Canonical Correlation Analysis (CCA) is widely used for multimodal data
analysis and, more recently, for discriminative tasks such as multi-view
learning; however, it makes no use of class labels. Recent CCA methods have
started to address this weakness but are limited in that they do not
simultaneously optimize the CCA projection for discrimination and the CCA
projection itself, or they are linear only. We address these deficiencies by
simultaneously optimizing a CCA-based and a task objective in an end-to-end
manner. Together, these two objectives learn a non-linear CCA projection to a
shared latent space that is highly correlated and discriminative. Our method
shows a significant improvement over previous state-of-the-art (including deep
supervised approaches) for cross-view classification, regularization with a
second view, and semi-supervised learning on real data."
6,"We propose a new method of program learning in a Domain Specific Language
(DSL) which is based on gradient descent with no direct search. The first
component of our method is a probabilistic representation of the DSL variables.
At each timestep in the program sequence, different DSL functions are applied
on the DSL variables with a certain probability, leading to different possible
outcomes. Rather than handling all these outputs separately, whose number grows
exponentially with each timestep, we collect them into a superposition of
variables which captures the information in a single, but fuzzy, state. This
state is to be contrasted at the final timestep with the ground-truth output,
through a loss function. The second component of our method is an
attention-based recurrent neural network, which provides an appropriate
initialization point for the gradient descent that optimizes the probabilistic
representation. The method we have developed surpasses the state-of-the-art for
synthesising long programs and is able to learn programs under noise."
7,"Several papers argue that wide minima generalize better than narrow minima.
In this paper, through detailed experiments that not only corroborate the
generalization properties of wide minima, we also provide empirical evidence
for a new hypothesis that the density of wide minima is likely lower than the
density of narrow minima. Further, motivated by this hypothesis, we design a
novel explore-exploit learning rate schedule. On a variety of image and natural
language datasets, compared to their original hand-tuned learning rate
baselines, we show that our explore-exploit schedule can result in either up to
0.84% higher absolute accuracy using the original training budget or up to 57%
reduced training time while achieving the original reported accuracy. For
example, we achieve state-of-the-art (SOTA) accuracy for IWSLT'14 (DE-EN)
dataset by just modifying the learning rate schedule of a high performing
model."
8,"Biclustering is a powerful approach to search for patterns in data, as it can
be driven by a function that measures the quality of diverse types of patterns
of interest. However, due to its computational complexity, the exploration of
the search space is usually guided by an algorithmic strategy, sometimes
introducing random factors that simplify the computational cost (e.g. greedy
search or evolutionary computation).
  Shifting patterns are specially interesting as they account constant
fluctuations in data, i.e. they capture situations in which all the values in
the pattern move up or down for one dimension maintaining the range amplitude
for all the dimensions. This behaviour is very common in nature, e.g. in the
analysis of gene expression data, where a subset of genes might go up or down
for a subset of patients or experimental conditions, identifying functionally
coherent categories.
  Boolean reasoning was recently revealed as an appropriate methodology to
address the search for constant biclusters. In this work, this direction is
extended to search for more general biclusters that include shifting patterns.
The mathematical foundations are described in order to associate Boolean
concepts with shifting patterns, and the methodology is presented to show that
the induction of shifting patterns by means of Boolean reasoning is due to the
ability of finding all inclusion--maximal {\delta}-shifting patterns.
  Experiments with a real dataset show the potential of our approach at finding
biclusters with {\delta}-shifting patterns, which have been evaluated with the
mean squared residue (MSR), providing an excellent performance at finding
results very close to zero."
9,"Explaining machine learning models is an important and increasingly popular
area of research interest. The Shapley value from game theory has been proposed
as a prime approach to compute feature importance towards model predictions on
images, text, tabular data, and recently graph neural networks (GNNs) on
graphs. In this work, we revisit the appropriateness of the Shapley value for
GNN explanation, where the task is to identify the most important subgraph and
constituent nodes for GNN predictions. We claim that the Shapley value is a
non-ideal choice for graph data because it is by definition not
structure-aware. We propose a Graph Structure-aware eXplanation (GStarX) method
to leverage the critical graph structure information to improve the
explanation. Specifically, we define a scoring function based on a new
structure-aware value from the cooperative game theory proposed by Hamiache and
Navarro (HN). When used to score node importance, the HN value utilizes graph
structures to attribute cooperation surplus between neighbor nodes, resembling
message passing in GNNs, so that node importance scores reflect not only the
node feature importance, but also the node structural roles. We demonstrate
that GStarX produces qualitatively more intuitive explanations, and
quantitatively improves explanation fidelity over strong baselines on chemical
graph property prediction and text graph sentiment classification."
10,"Low-cost cross-modal representation learning is crucial for deriving semantic
representations across diverse modalities such as text, audio, images, and
video. Traditional approaches typically depend on large specialized models
trained from scratch, requiring extensive datasets and resulting in high
resource and time costs. To overcome these challenges, we introduce a novel
approach named Lightweight Cross-Modal Representation Learning (LightCRL). This
method uses a single neural network titled Deep Fusion Encoder (DFE), which
projects data from multiple modalities into a shared latent representation
space. This reduces the overall parameter count while still delivering robust
performance comparable to more complex systems."
11,"To date, various neural methods have been proposed for causal effect
estimation based on observational data, where a default assumption is the same
distribution and availability of variables at both training and inference
(i.e., runtime) stages. However, distribution shift (i.e., domain shift) could
happen during runtime, and bigger challenges arise from the impaired
accessibility of variables. This is commonly caused by increasing privacy and
ethical concerns, which can make arbitrary variables unavailable in the entire
runtime data and imputation impractical. We term the co-occurrence of domain
shift and inaccessible variables runtime domain corruption, which seriously
impairs the generalizability of a trained counterfactual predictor. To counter
runtime domain corruption, we subsume counterfactual prediction under the
notion of domain adaptation. Specifically, we upper-bound the error w.r.t. the
target domain (i.e., runtime covariates) by the sum of source domain error and
inter-domain distribution distance. In addition, we build an adversarially
unified variational causal effect model, named VEGAN, with a novel two-stage
adversarial domain adaptation scheme to reduce the latent distribution
disparity between treated and control groups first, and between training and
runtime variables afterwards. We demonstrate that VEGAN outperforms other
state-of-the-art baselines on individual-level treatment effect estimation in
the presence of runtime domain corruption on benchmark datasets."
12,"Given a resource-rich source graph and a resource-scarce target graph, how
can we effectively transfer knowledge across graphs and ensure a good
generalization performance? In many high-impact domains (e.g., brain networks
and molecular graphs), collecting and annotating data is prohibitively
expensive and time-consuming, which makes domain adaptation an attractive
option to alleviate the label scarcity issue. In light of this, the
state-of-the-art methods focus on deriving domain-invariant graph
representation that minimizes the domain discrepancy. However, it has recently
been shown that a small domain discrepancy loss may not always guarantee a good
generalization performance, especially in the presence of disparate graph
structures and label distribution shifts. In this paper, we present TRANSNET, a
generic learning framework for augmenting knowledge transfer across graphs. In
particular, we introduce a novel notion named trinity signal that can naturally
formulate various graph signals at different granularity (e.g., node
attributes, edges, and subgraphs). With that, we further propose a domain
unification module together with a trinity-signal mixup scheme to jointly
minimize the domain discrepancy and augment the knowledge transfer across
graphs. Finally, comprehensive empirical results show that TRANSNET outperforms
all existing approaches on seven benchmark datasets by a significant margin."
13,"Reducing traffic accidents is a crucial global public safety concern.
Accident prediction is key to improving traffic safety, enabling proactive
measures to be taken before a crash occurs, and informing safety policies,
regulations, and targeted interventions. Despite numerous studies on accident
prediction over the past decades, many have limitations in terms of
generalizability, reproducibility, or feasibility for practical use due to
input data or problem formulation. To address existing shortcomings, we propose
CrashFormer, a multi-modal architecture that utilizes comprehensive (but
relatively easy to obtain) inputs such as the history of accidents, weather
information, map images, and demographic information. The model predicts the
future risk of accidents on a reasonably acceptable cadence (i.e., every six
hours) for a geographical location of 5.161 square kilometers. CrashFormer is
composed of five components: a sequential encoder to utilize historical
accidents and weather data, an image encoder to use map imagery data, a raw
data encoder to utilize demographic information, a feature fusion module for
aggregating the encoded features, and a classifier that accepts the aggregated
data and makes predictions accordingly. Results from extensive real-world
experiments in 10 major US cities show that CrashFormer outperforms
state-of-the-art sequential and non-sequential models by 1.8% in F1-score on
average when using ``sparse'' input data."
14,"There is often variation in the shape and size of input data used for deep
learning. In many cases, such data can be represented using tensors with
non-uniform shapes, or ragged tensors. Due to limited and non-portable support
for efficient execution on ragged tensors, current deep learning frameworks
generally use techniques such as padding and masking to make the data shapes
uniform and then offload the computations to optimized kernels for dense tensor
algebra. Such techniques can, however, lead to a lot of wasted computation and
therefore, a loss in performance. This paper presents CoRa, a tensor compiler
that allows users to easily generate efficient code for ragged tensor operators
targeting a wide range of CPUs and GPUs. Evaluating CoRa on a variety of
operators on ragged tensors as well as on an encoder layer of the transformer
model, we find that CoRa (i)performs competitively with hand-optimized
implementations of the operators and the transformer encoder and (ii) achieves,
over PyTorch, a 1.6X geomean speedup for the encoder on an Nvidia GPU and a
1.86X geomean speedup for the multi-head attention module used in transformers
on an ARM CPU."
15,"In this paper, we study the robustness of graph convolutional networks
(GCNs). Despite the good performance of GCNs on graph semi-supervised learning
tasks, previous works have shown that the original GCNs are very unstable to
adversarial perturbations. In particular, we can observe a severe performance
degradation by slightly changing the graph adjacency matrix or the features of
a few nodes, making it unsuitable for security-critical applications. Inspired
by the previous works on adversarial defense for deep neural networks, and
especially adversarial training algorithm, we propose a method called
GraphDefense to defend against the adversarial perturbations. In addition, for
our defense method, we could still maintain semi-supervised learning settings,
without a large label rate. We also show that adversarial training in features
is equivalent to adversarial training for edges with a small perturbation. Our
experiments show that the proposed defense methods successfully increase the
robustness of Graph Convolutional Networks. Furthermore, we show that with
careful design, our proposed algorithm can scale to large graphs, such as
Reddit dataset."
