id,label
0,Machine Learning
1,Machine Learning
2,Machine Learning
3,Machine Learning
4,Machine Learning
5,Machine Learning
6,Machine Learning
7,Machine Learning
8,Machine Learning
9,Machine Learning
10,Machine Learning
11,Machine Learning
12,Machine Learning
13,Machine Learning
14,Machine Learning
15,Machine Learning
16,Machine Learning
17,Machine Learning
18,Machine Learning
19,Machine Learning
20,Machine Learning
21,Machine Learning
22,Machine Learning
23,Machine Learning
24,Machine Learning
25,Machine Learning
26,Machine Learning
27,Machine Learning
28,Machine Learning
29,Machine Learning
30,Machine Learning
31,Machine Learning
32,Machine Learning
33,Machine Learning
34,Machine Learning
35,Machine Learning
36,Machine Learning
37,Machine Learning
38,Machine Learning
39,Machine Learning
40,Machine Learning
41,Machine Learning
42,Machine Learning
43,Machine Learning
44,Machine Learning
45,Machine Learning
46,Machine Learning
47,Machine Learning
48,Machine Learning
49,Machine Learning
50,Machine Learning
51,Machine Learning
52,Machine Learning
53,Machine Learning
54,Machine Learning
55,Machine Learning
56,Computer Vision
57,Computer Vision
58,Computer Vision
59,Computer Vision
60,Computer Vision
61,Computer Vision
62,Computer Vision
63,Computer Vision
64,Computer Vision
65,Computer Vision
66,Computer Vision
67,Computer Vision
68,Computer Vision
69,Computer Vision
70,Computer Vision
71,Computer Vision
72,Computer Vision
73,Computer Vision
74,Computer Vision
75,Computer Vision
76,Computer Vision
77,Computer Vision
78,Computer Vision
79,Computer Vision
80,Computer Vision
81,Computer Vision
82,Computer Vision
83,Computer Vision
84,Computer Vision
85,Computer Vision
86,Computer Vision
87,Computer Vision
88,Computer Vision
89,Computer Vision
90,Computer Vision
91,Computer Vision
92,Computer Vision
93,Computer Vision
94,Computer Vision
95,Computer Vision
96,Computer Vision
97,Computer Vision
98,Computer Vision
99,Computer Vision
100,Computer Vision
101,Computer Vision
102,Computer Vision
103,Computer Vision
104,Computer Vision
105,Computer Vision
106,Computer Vision
107,Computer Vision
108,Computer Vision
109,Computer Vision
110,Computer Vision
111,Computer Vision
112,Robotics
113,Robotics
114,Robotics
115,Robotics
116,Robotics
117,Robotics
118,Robotics
119,Robotics
120,Robotics
121,Robotics
122,Robotics
123,Robotics
124,Robotics
125,Robotics
126,Robotics
127,Robotics
128,Robotics
129,Robotics
130,Robotics
131,Robotics
132,Robotics
133,Robotics
134,Robotics
135,Robotics
136,Robotics
137,Robotics
138,Robotics
139,Robotics
140,Robotics
141,Robotics
142,Robotics
143,Robotics
144,Robotics
145,Robotics
146,Robotics
147,Robotics
148,Robotics
149,Robotics
150,Robotics
151,Robotics
152,Robotics
153,Robotics
154,Robotics
155,Robotics
156,Robotics
157,Robotics
158,Robotics
159,Robotics
160,Robotics
161,Robotics
162,Robotics
163,Robotics
164,Robotics
165,Robotics
166,Robotics
167,Robotics
168,Information Retrieval
169,Information Retrieval
170,Information Retrieval
171,Information Retrieval
172,Information Retrieval
173,Information Retrieval
174,Information Retrieval
175,Information Retrieval
176,Information Retrieval
177,Information Retrieval
178,Information Retrieval
179,Information Retrieval
180,Information Retrieval
181,Information Retrieval
182,Information Retrieval
183,Information Retrieval
184,Information Retrieval
185,Information Retrieval
186,Information Retrieval
187,Information Retrieval
188,Information Retrieval
189,Information Retrieval
190,Information Retrieval
191,Information Retrieval
192,Information Retrieval
193,Information Retrieval
194,Information Retrieval
195,Information Retrieval
196,Information Retrieval
197,Information Retrieval
198,Information Retrieval
199,Information Retrieval
200,Information Retrieval
201,Information Retrieval
202,Information Retrieval
203,Information Retrieval
204,Information Retrieval
205,Information Retrieval
206,Information Retrieval
207,Information Retrieval
208,Information Retrieval
209,Information Retrieval
210,Information Retrieval
211,Information Retrieval
212,Information Retrieval
213,Information Retrieval
214,Information Retrieval
215,Information Retrieval
216,Information Retrieval
217,Information Retrieval
218,Information Retrieval
219,Information Retrieval
220,Information Retrieval
221,Information Retrieval
222,Information Retrieval
223,Information Retrieval
224,Cryptography and Security
225,Cryptography and Security
226,Cryptography and Security
227,Cryptography and Security
228,Cryptography and Security
229,Cryptography and Security
230,Cryptography and Security
231,Cryptography and Security
232,Cryptography and Security
233,Cryptography and Security
234,Cryptography and Security
235,Cryptography and Security
236,Cryptography and Security
237,Cryptography and Security
238,Cryptography and Security
239,Cryptography and Security
240,Cryptography and Security
241,Cryptography and Security
242,Cryptography and Security
243,Cryptography and Security
244,Cryptography and Security
245,Cryptography and Security
246,Cryptography and Security
247,Cryptography and Security
248,Cryptography and Security
249,Cryptography and Security
250,Cryptography and Security
251,Cryptography and Security
252,Cryptography and Security
253,Cryptography and Security
254,Cryptography and Security
255,Cryptography and Security
256,Cryptography and Security
257,Cryptography and Security
258,Cryptography and Security
259,Cryptography and Security
260,Cryptography and Security
261,Cryptography and Security
262,Cryptography and Security
263,Cryptography and Security
264,Cryptography and Security
