text,label
Lil Pump is the Nelson Mandela of our generation,0
Where is the Chancellor? Please check the back of your sofas.,0
“I don’t really like partying” Oh is that why you’ve gone to parties twice in the last week? Because you just can’t stand it? Makes complete sense.,0
everyone pls stop shooting fireworks my dog is scared :(,0
@DonaldJTrumpJr If only he had a press Corp in the house...oh wait! Shut up Jr! Time to get fitted for those lovely orange jumpsuits! If you can't be orange anymore at least you can wear it!!!,0
every time i send my mom pictures of me and one of my friends doing fun things the first question she asks is if we're on a date what are you trying to tell me mother,0
i love ingesting poison and then wondering why my tummy is rumbling the next morning,0
"""Should I wear my lime green pants?"" dad its 4th of july...",0
Uh oh Ben Simmons will also have a Steph Curry type season 76ers better not trade him now https://t.co/kkpzfcTcSH,0
"Sooo... @adamlevine was that ""Nice!"" and double fist pump for the show or @shakira s ass that you were checking out? @NBCTheVoice",0
only have to physically be in uni for an hour a week looool mmmm take my 9k xxxxx,0
"Are GoFundMe accounts a form of socialism?  I don’t have enough money to pay my bills, so let me create an account an ask for money to help pay my bills. ??",0
just found ive been walking on a broken foot for the past 6 months 🤪🤪🤪,0
"it’s amazing how many people get mad at you for simply Raising Questions, such as “what if the vaccine makes your balls inflate like helium balloons and cause you to float away to never be seen again”",0
Do you think anyone on Bachelor in Paradise has seen Oscar winner Parasite?,0
"Yay - snow day, I can work from home - oh wait....",0
Mental shoot out ends. Silent pause. Sirens start 🚨 Always so perfectly timed 🚔🚓👍🏽 #LineOfDuty #LineofDuty6 #LOD6 #LOD,0
"As if I didn't know this anyway!
I'm an Owl according to the #BBCBodyClock quiz – what are you? https://t.co/vM07K82CTg",0
fully vaxxed feeling very girlboss,0
Mad how many cars they make now without indicators 🙃,0
Just won 3 cents on HQ words...early retirement here I come 😍,0
"I unsubscribe from being an adult, its not for me",0
"don't cry because it happened, smile because it's over &lt;3",0
@cassieecote413 you can copy mine,0
I've been doing physics for 40 minutes I think I deserve a break 😂😂😂😭 I'm never going to get it all done at this rate,0
dont you love it when youre just chilling in your room and then theres a spider and you kill it but when you kill it you spill soda all over your keyboard yeah me too,0
do people with clear skin feel accomplished?? superior??? comfortable in their own skin???? what’s that like lmfao,0
It’s been a blissful 2.5 hours of sleep tonight,0
Gosh sunderland twitter is a fun place to be tonight isn't it. One game. One game!!!,0
"@richardosman @GMB @susannareid100 @piersmorgan You've a book out? I hadn't realised.

Yes, you've already read this 8763 times this week, but hey.",0
victoria has a crush on maluma,0
“it’s hotter in the america right now and it feels fine british people are just being dramatic 🙄” QUICK ARE YOU SAYING THIS INSIDE UR AIR CONDITIONED HOUSE ‼️‼️‼️,0
Football is turning into an anatomy lesson. COOL,0
can't wait til a bunch of pudgy suburban dads save the day with their firearms,0
"For a good laugh, follow me over on @vsheltonsports to see my best attempt at covering sports business news for class this semester.",0
I’ve always known #Bez is my spirit animal but seeing the mess he makes on @MasterChefUK confirms it 100% what a legend that man is,0
@ShareZone5 @StockpickB You are a right bundle of laughs to take to the pictures Draft!,0
@terryflewers @lfcsonny Has he given any clarification regarding what age Harvey Elliott needs to be before you can tackle him?,0
"Ok, so @bytereview and I decided to record on the evening of the 6th, just as absolutely nothing newsworthy was happening! Perfect timing as always, to go over some of the best ITSBUPs of 2020 - and how we're settling into 2021! Listen: https://t.co/oaPLwrtcHP https://t.co/za3EHuqcWh",0
Don’t you just love it when they dig up your road at 8:30am on a Saturday 😠,0
Someone should’ve had me committed the day I decided to buy a pair of non-stretch denim jeans,0
Do the #Hokies really have to play 5 against 6 tonight? Come on stripes,0
@Dancruz07 Sureeeeeee you do,0
"🌶 Spiced Coconut curry 🥥

.
A weekend spent with friends brings a week of content... or something like that 😜

.
Started the weekend off with this yummy morsel, With was a fusion of miso sesame aubergine 🍆, broccoli… https://t.co/zyWiA0EX4u",0
Today my pop-pop told me I was not “forced” to go to college 🙃 okay sure sureeee,0
I love when I learn about stuff I've apparently done and said from people😂,0
"@Moffstovoi Well done! With the better coaching now available, can we expect a decent wee victory tomorrow? 😅",0
"Day 2348 in lockdown. Never in my life did I think I would utter the words ""I've disinfected the chocolate"". #coronalockdownuk",0
James Harden is allowed to travel every time he drives apparently,0
"Synthwave communities really love pessimism don't they haha
Any upbeat energy and people get upset at ya",0
"""You're not a normal white girl"" lol ok",0
Why was I not told Matthew Stafford and Cooper Kupp eat breakfast together before I drafted Robert Woods over him?,0
"@heathoween @tylerrjoseph Yes, because we need literally every single fucking celebrity to speak up on a topic that's been forced down everyone's throats for the past four months. I use the internet to get away from these fucking real life problems; not everyone needs to weigh in.",0
I love to pick my modules on a first come first served basis at the same time as everyone in my entire year on a website that hasn’t been updated since 1995 . Thrilling ❤️,0
tex-mex restaurants that stop serving breakfast tacos after 10:30/11 am are the reason i have trust issues,0
I'm hoping my social work class party is going to involve tequila and chip and salsa 💃🍹🎉👨,0
ate a bagel with cream cheese earlier and the impending doom immediately vanished from my mind,0
So nice of my family to decide that I’m hosting a Mother’s Day brunch for everyone at my house. https://t.co/DWZI9ltALK,0
Happy birthday to me. I got pinged and can't leave the house 🥰🤡,0
Ahhh I get to listen to a cement mixer all day. Awesome.,0
pay it forward is honestly one of the worst movies I've ever seen why would would anyone make an ending so sad I've been crying for 30 min,0
going to be running on three hours of sleep at work tonight! so excited!!!,0
is it illegal to discriminate against someone on the basis that they have a joker tattoo,0
@MatthewStadlen @sajidjavid Thank you so much for your insightful thoughts- I’m sure @sajidjavid is overjoyed that you “quite like him”,0
it'd be nice if missguided actually had stock for once🙂🙂🙂,0
This is awkward... @hollywills is a Diet Coke ambassador 🤯. #ThisMorning,0
Men will literally fake an injury on the football field instead of going to therapy,0
"Oh my goodness. It’s the first week of the summer holidays and Harrison has found his recorder. 

Give.
Me.
Strength.",0
"2 things I love:
1. Being woken up by construction work an hour before my alarm.
2. Sarcasm.",0
virgos are leos in a vest,0
thanks @SovietWomble for ratting my location out on stream and then embarrassing me 😂 it made my day though https://t.co/3b7Cjql2GO,0
"I recovered a repressed memory today of working at @kumandgo in high school 13 years ago &amp; having to answer the phone as “we go all out at Kum &amp; Go, this is Shelby. How can I help you?” And the prank calls that led to. Pretty sure K&amp;G owe me therapy.",0
Only yelled at one person while biking home this evening. Improvement!,0
Maybe if I watched suits in year 12 I’d be studying law rn,0
"Oh wow, trolls really have a lot of time on there hands, jeez 🙄 they really don’t like getting banned #twitchtrolls",0
"@AmazonUK why does Alexa UK not get improvements like Guard, Adaptive Volume, Male voice? Should we pay less for the devices than the US equivalent?",0
maybe i am a cyber bully,0
Did you know? Abuse and alcoholism and depression will just ✨disappear✨ if the country is opened completely during a pandemic? #trumpisanidiot #bidenharris2020,0
do you think when a middle aged white man goes to buy a big lifted brand new F150 they check to make sure his penis is incredibly small?? or do they just take his word for it,0
@SkySportsBoxing if i think you would have a chance against fury i mean its easy for some broken bodied old boy to beat the best in the world,0
Falling asleep at your laptop is always fun,0
the fact that “breaking: school shootings preventable” was an actual headline on nbc tonight is actually laughable,0
